STATE,DISTRICT,QUARTER,LEVEL
Andhra Pradesh,Anantapur,01-01-2014,6.864666667
Andhra Pradesh,Anantapur,01-04-2014,8.780166667
Andhra Pradesh,Anantapur,01-07-2014,8.613833333
Andhra Pradesh,Anantapur,01-10-2014,8.5575
Andhra Pradesh,Anantapur,01-01-2015,8.3275
Andhra Pradesh,Anantapur,01-04-2015,9.626964286
Andhra Pradesh,Anantapur,01-07-2015,9.512142857
Andhra Pradesh,Anantapur,01-10-2015,7.569107143
Andhra Pradesh,Anantapur,01-01-2016,5.604929577
Andhra Pradesh,Anantapur,01-04-2016,8.682535211
Andhra Pradesh,Anantapur,01-07-2016,7.406901408
Andhra Pradesh,Anantapur,01-10-2016,7.851408451
Andhra Pradesh,Anantapur,01-01-2017,10.37678571
Andhra Pradesh,Anantapur,01-04-2017,11.9775
Andhra Pradesh,Anantapur,01-07-2017,11.77288036
Andhra Pradesh,Anantapur,01-10-2017,7.104285714
Andhra Pradesh,Anantapur,01-01-2018,7.18037037
Andhra Pradesh,Anantapur,01-04-2018,7.198333333
Andhra Pradesh,Anantapur,01-07-2018,4.077962963
Andhra Pradesh,Anantapur,01-10-2018,9.486111111
Andhra Pradesh,Chittoor,01-01-1996,6.14704918
Andhra Pradesh,Chittoor,01-04-1996,7.78442623
Andhra Pradesh,Chittoor,01-07-1996,5.413278689
Andhra Pradesh,Chittoor,01-10-1996,3.191311475
Andhra Pradesh,Chittoor,01-01-1997,2.929298246
Andhra Pradesh,Chittoor,01-04-1997,6.172280702
Andhra Pradesh,Chittoor,01-07-1997,6.142105263
Andhra Pradesh,Chittoor,01-10-1997,5.107719298
Andhra Pradesh,Chittoor,01-01-1998,4.531818182
Andhra Pradesh,Chittoor,01-04-1998,7.447090909
Andhra Pradesh,Chittoor,01-07-1998,6.077818182
Andhra Pradesh,Chittoor,01-10-1998,4.337818182
Andhra Pradesh,Chittoor,01-01-1999,5.3584
Andhra Pradesh,Chittoor,01-04-1999,7.2144
Andhra Pradesh,Chittoor,01-07-1999,8.4172
Andhra Pradesh,Chittoor,01-10-1999,7.158
Andhra Pradesh,Chittoor,01-01-2000,7.237708333
Andhra Pradesh,Chittoor,01-04-2000,7.731875
Andhra Pradesh,Chittoor,01-07-2000,6.822916667
Andhra Pradesh,Chittoor,01-10-2000,5.960208333
Andhra Pradesh,Chittoor,01-01-2001,5.656170213
Andhra Pradesh,Chittoor,01-04-2001,8.649148936
Andhra Pradesh,Chittoor,01-07-2001,9.190425532
Andhra Pradesh,Chittoor,01-10-2001,4.392553191
Andhra Pradesh,Chittoor,01-01-2002,5.043636364
Andhra Pradesh,Chittoor,01-04-2002,7.481363636
Andhra Pradesh,Chittoor,01-07-2002,8.758863636
Andhra Pradesh,Chittoor,01-10-2002,7.381818182
Andhra Pradesh,Chittoor,01-01-2003,8.435813953
Andhra Pradesh,Chittoor,01-04-2003,10.52139535
Andhra Pradesh,Chittoor,01-07-2003,8.134883721
Andhra Pradesh,Chittoor,01-10-2003,7.958139535
Andhra Pradesh,Chittoor,01-01-2004,9.102857143
Andhra Pradesh,Chittoor,01-04-2004,9.278809524
Andhra Pradesh,Chittoor,01-07-2004,9.91
Andhra Pradesh,Chittoor,01-10-2004,8.432619048
Andhra Pradesh,Chittoor,01-01-2005,14.5155
Andhra Pradesh,Chittoor,01-04-2005,16.4517
Andhra Pradesh,Chittoor,01-07-2005,13.8863
Andhra Pradesh,Chittoor,01-10-2005,6.1874
Andhra Pradesh,Chittoor,01-01-2006,7.137171717
Andhra Pradesh,Chittoor,01-04-2006,9.244040404
Andhra Pradesh,Chittoor,01-07-2006,9.864646465
Andhra Pradesh,Chittoor,01-10-2006,8.164040404
Andhra Pradesh,Chittoor,01-01-2007,11.14193878
